Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
17797619.0,Pihu Manne,Uber,10-11-2024,11673.0,Medium,Card Not Present,Telangana,Rupay,ICICI Bank,0.0,57.0,Transportation,Bangalore
50040671.0,Hiran Vaidya,Zomato,20-05-2024,16594.0,Medium,Phishing,Maharashtra,Amex,SBI,0.0,10.0,Groceries,Bangalore
88177651.0,Shalv Vasa,Myntra,28-05-2024,23347.0,Medium,Card Skimming,Uttar Pradesh,Visa,HDFC Bank,0.0,55.0,Transportation,Ahmedabad
24228305.0,Taran Shanker,Lifestyle,09-01-2024,20753.0,Low,Card Skimming,Kerala,Visa,Federal Bank,0.0,30.0,E-commerce,Lucknow
87307869.0,Shanaya Kara,Tata Cliq,27-07-2024,6432.0,Low,Card Skimming,Delhi,Amex,SBI,0.0,86.0,Electronics,Hyderabad
25042953.0,Eshani Batta,Lifestyle,20-12-2023,4586.0,Critical,Card Skimming,West Bengal,Amex,Andhra Bank,0.0,80.0,E-commerce,Hyderabad
13457605.0,Advik Jayaraman,Flipkart,26-12-2023,2202.0,Medium,Account Takeover,Tamil Nadu,Amex,Bank of Baroda,0.0,95.0,Apparel,Mumbai
95389887.0,Drishya Bhandari,Lifestyle,05-01-2024,17709.0,High,Card Not Present,Karnataka,Visa,HDFC Bank,0.0,56.0,E-commerce,Jaipur
66937046.0,Mannat Kothari,Zomato,09-11-2024,1613.0,Low,Phishing,Uttar Pradesh,Rupay,HDFC Bank,1.0,92.0,Food Delivery,Bangalore
39375009.0,Aradhya Khosla,Lifestyle,22-10-2024,21623.0,Low,Card Skimming,West Bengal,Visa,Bank of Baroda,0.0,66.0,Apparel,Delhi
26313417.0,Lakshay Ravi,Lifestyle,08-10-2024,7180.0,Critical,Card Skimming,Telangana,Visa,Yes Bank,0.0,90.0,Apparel,Mumbai
53768437.0,Tushar Kara,Amazon India,16-11-2024,1562.0,Low,Identity Theft,Kerala,Mastercard,Bank of Baroda,0.0,46.0,E-commerce,Kolkata
49564502.0,Shamik Sharaf,Big Bazaar,05-12-2024,1521.0,Medium,Card Skimming,Karnataka,Visa,HDFC Bank,1.0,25.0,Food Delivery,Ahmedabad
46575685.0,Shray Dutt,Reliance Digital,26-01-2024,18563.0,Low,Account Takeover,Delhi,Rupay,ICICI Bank,0.0,19.0,Transportation,Bangalore
85972172.0,Prisha Mannan,Reliance Digital,29-05-2024,4486.0,High,Card Skimming,Maharashtra,Visa,Kotak Bank,1.0,43.0,E-commerce,Ahmedabad
74522267.0,Zeeshan Lalla,Big Bazaar,21-08-2024,11710.0,Medium,Account Takeover,Gujarat,Amex,Yes Bank,0.0,76.0,Food Delivery,Delhi
26829430.0,Tarini Bedi,Tata Cliq,21-09-2024,24725.0,Low,Card Not Present,Karnataka,Amex,Kotak Bank,0.0,85.0,Transportation,Ahmedabad
76910814.0,Nehmat Upadhyay,Tata Cliq,14-12-2024,3192.0,Medium,Identity Theft,Kerala,Rupay,Bank of Baroda,1.0,31.0,Transportation,Lucknow
37342915.0,Rohan Sood,Uber,13-06-2024,950.0,Low,Card Skimming,Uttar Pradesh,Rupay,Axis Bank,0.0,88.0,Electronics,Jaipur
70649904.0,Jivika Singhal,Amazon India,25-12-2023,7021.0,Low,Phishing,Maharashtra,Amex,SBI,1.0,42.0,Electronics,Chennai
80346732.0,Adah Chaudhry,Reliance Digital,23-08-2024,7932.0,High,Card Skimming,Maharashtra,Mastercard,Bank of Baroda,1.0,39.0,Electronics,Kochi
39217230.0,Saksham Rastogi,Uber,15-10-2024,7249.0,Low,Phishing,Kerala,Visa,SBI,0.0,41.0,Apparel,Delhi
